,Player,Values,Nation,Team,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xGA/90,GA90,Save%,CS%,PSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,SCmp%,MCmp%,LCmpt%,KP,1/3(passing),PPA,CrsPA,PrgP(passing),SCA,SCA90,GCA,GCA90,Tkl,TklW,Att(defense),Lost(defense),Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att(possession),Succ%,Tkld%,Carries,PrgDist,PrgC(possession),1/3(possession),CPA,Mis,Dis,Rec,PrgR(possession),Fls,Fld,Off,Crs,Recov,Won,Lost,Won%
59,Trent Alexander-Arnold,€55.4M,eng ENG,Liverpool,DF,26-202,29,26,2165.0,3,6,5,0,1.6,6.7,48,204,87,0.12,0.37,0.07,0.28,N/a,N/a,N/a,N/a,20.5,0.33,0.08,23.4,1325,73.7,25464,89.9,76.0,49.9,50,189,62,20,204,92,3.82,10,0.42,68,48,100,53,25,8,17,30,2059,82,549,913,611,40,29,44.8,48.3,1083,2686,48,35,8,19,15,1307,87,9,7,1,142,122,3,12,20.0
60,Illia Zabarnyi,€55.1M,ua UKR,Bournemouth,DF,22-238,31,30,2662.0,0,0,3,1,1.0,0.6,24,123,4,0.0,0.0,0.03,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.00,8.8,1199,81.6,25439,90.7,90.8,53.2,11,129,6,0,123,28,0.95,0,0.0,46,32,43,13,32,19,13,34,1772,207,825,901,65,11,8,62.5,25.0,1106,4285,24,20,0,14,3,1109,4,17,6,0,5,140,67,37,64.4
61,Kobbie Mainoo,€54.8M,eng ENG,Manchester Utd,MF,20-008,20,16,1352.0,0,0,5,0,0.5,1.5,19,55,36,0.0,0.0,0.04,0.1,N/a,N/a,N/a,N/a,9.1,0.07,0.00,20.4,608,86.2,8062,92.0,88.4,70.3,13,45,9,0,55,26,1.73,1,0.07,38,24,34,13,15,2,13,18,888,17,170,503,223,31,42,47.6,47.6,547,1045,19,13,9,27,31,631,36,24,19,2,4,74,17,25,40.5
62,Anthony Gordon,€52.4M,eng ENG,Newcastle Utd,FW,24-062,30,25,2200.0,6,5,2,0,8.0,4.9,110,92,194,0.25,0.45,0.33,0.2,N/a,N/a,N/a,N/a,29.1,0.65,0.09,16.6,661,73.1,10125,86.1,77.7,42.2,50,59,50,16,92,98,4.01,12,0.49,31,17,34,22,24,2,22,6,1165,16,115,439,630,123,96,36.5,46.9,750,3016,110,56,55,28,35,839,194,19,62,8,120,92,5,7,41.7
63,Noni Madueke,€52.3M,eng ENG,Chelsea,FW,23-048,28,23,1723.0,7,3,3,0,8.2,3.9,133,63,208,0.37,0.52,0.43,0.2,N/a,N/a,N/a,N/a,41.1,1.57,0.10,14.6,452,77.5,6706,86.5,76.1,56.4,28,12,33,8,63,72,3.76,8,0.42,22,15,33,20,14,0,14,8,837,18,83,237,531,163,84,42.9,46.4,562,2970,133,43,80,41,24,646,208,20,24,4,58,67,10,15,40.0
64,Sandro Tonali,€52.1M,it ITA,Newcastle Utd,MF,24-354,32,24,2270.0,3,2,5,0,3.7,1.3,33,113,47,0.12,0.2,0.15,0.05,N/a,N/a,N/a,N/a,32.3,0.4,0.10,19.5,1089,83.6,17125,89.8,87.0,61.0,20,87,24,4,113,60,2.38,8,0.32,46,29,43,22,30,10,20,30,1553,60,355,859,365,40,34,55.9,35.3,836,1955,33,33,5,25,24,1075,47,36,40,2,30,162,12,11,52.2
65,Christopher Nkunku,€51.3M,fr FRA,Chelsea,FW,27-164,27,9,921.0,3,2,2,0,4.8,2.1,17,25,68,0.29,0.49,0.47,0.21,N/a,N/a,N/a,N/a,44.0,1.07,0.12,12.6,299,89.5,3928,91.6,92.2,100.0,14,26,7,0,25,34,3.32,4,0.39,12,8,8,2,9,2,7,7,448,10,52,183,217,52,27,37.0,51.9,280,628,17,16,13,18,17,356,68,16,11,3,4,29,16,22,42.1
66,Bernardo Silva,€51.1M,pt POR,Manchester City,"MF,FW",30-260,29,25,2311.0,3,4,7,0,3.2,4.2,92,109,180,0.12,0.27,0.13,0.17,N/a,N/a,N/a,N/a,35.7,0.39,0.11,12.9,1284,86.9,19677,91.9,88.7,65.3,44,70,30,7,109,79,3.08,8,0.31,49,32,49,26,30,7,23,19,1705,42,298,675,749,127,55,45.5,41.8,1068,3501,92,59,30,21,31,1261,180,25,27,3,50,90,5,10,33.3
67,João Gomes,€51.1M,br BRA,Wolves,MF,24-074,32,32,2691.0,3,1,10,1,2.7,1.1,54,146,65,0.1,0.13,0.09,0.04,N/a,N/a,N/a,N/a,21.2,0.23,0.09,18.1,1232,85.1,17643,90.8,85.8,61.0,21,106,22,1,146,61,2.04,3,0.1,99,58,97,59,39,3,36,26,1787,55,379,988,447,40,56,46.4,42.9,934,2591,54,52,6,36,49,1199,65,65,39,1,27,174,9,23,28.1
68,Dominic Solanke,€51M,eng ENG,Tottenham,FW,27-225,24,23,2052.0,7,3,0,0,9.9,2.9,29,45,87,0.31,0.44,0.43,0.13,N/a,N/a,N/a,N/a,39.3,0.96,0.13,12.2,248,71.9,3322,76.6,77.1,66.7,14,27,9,0,45,37,1.62,8,0.35,18,11,12,8,17,7,10,0,623,31,67,285,277,108,50,32.0,62.0,369,797,29,20,14,65,45,438,87,36,36,5,4,37,41,55,42.7
69,Carlos Baleba,€51M,cm CMR,Brighton,MF,21-114,30,27,2313.0,3,1,8,1,3.0,1.3,39,114,26,0.12,0.16,0.12,0.05,N/a,N/a,N/a,N/a,27.5,0.43,0.08,25.1,1018,87.7,17223,93.1,91.7,64.1,20,105,22,2,114,60,2.34,4,0.16,71,41,72,28,43,10,33,40,1506,83,360,895,291,11,51,58.8,35.3,851,2530,39,41,3,36,35,915,26,38,43,0,8,172,38,23,62.3
70,Matthijs de Ligt,€50.8M,nl NED,Manchester Utd,DF,25-258,28,24,2089.0,2,0,3,0,2.5,0.3,7,55,6,0.09,0.09,0.11,0.01,N/a,N/a,N/a,N/a,50.0,0.39,0.11,7.9,1225,90.1,21549,94.1,94.5,50.5,6,63,2,1,55,14,0.6,1,0.04,30,22,32,9,29,21,8,33,1584,181,813,722,56,29,4,50.0,50.0,1063,2219,7,3,0,5,3,1142,6,16,12,2,6,66,57,29,66.3
71,Pape Matar Sarr,€50.8M,sn SEN,Tottenham,MF,22-225,31,18,1591.0,3,2,6,0,3.3,1.5,29,79,50,0.17,0.28,0.18,0.09,N/a,N/a,N/a,N/a,40.0,0.68,0.10,21.4,808,87.3,12484,91.2,90.3,75.4,14,82,10,2,79,40,2.26,6,0.34,42,30,22,11,21,7,14,24,1110,32,231,623,274,26,25,44.0,48.0,713,1736,29,31,5,25,21,798,50,27,30,2,13,104,23,36,39.0
72,Adam Wharton,€49.3M,eng ENG,Crystal Palace,MF,20-329,19,15,1258.0,0,2,2,0,0.3,3.0,14,105,10,0.0,0.14,0.02,0.21,N/a,N/a,N/a,N/a,41.7,0.36,0.00,25.8,521,75.6,9826,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,20.0,80.0,413,1021,14,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4
73,Riccardo Calafiori,€49.3M,it ITA,Arsenal,DF,22-343,17,11,925.0,2,1,4,0,0.9,0.3,21,54,29,0.19,0.29,0.08,0.03,N/a,N/a,N/a,N/a,60.0,0.58,0.20,14.1,449,85.4,6549,91.6,85.7,67.9,6,40,9,1,54,13,1.26,2,0.19,26,18,29,11,12,6,6,9,628,30,161,249,222,29,13,69.2,23.1,291,839,21,12,3,11,5,377,29,16,6,3,11,30,22,13,62.9
74,Kaoru Mitoma,€49.2M,jp JPN,Brighton,"FW,MF",27-342,33,28,2521.0,9,3,1,0,8.8,4.4,138,82,277,0.32,0.43,0.32,0.16,N/a,N/a,N/a,N/a,46.3,0.89,0.17,13.9,701,75.3,9127,86.7,70.5,44.0,35,34,32,8,82,83,2.96,8,0.29,43,26,46,28,46,3,43,13,1300,15,148,445,734,156,127,38.6,57.5,785,3659,138,76,55,49,22,911,277,39,23,5,72,92,24,27,47.1
75,Lisandro Martínez,€49.2M,ar ARG,Manchester Utd,DF,27-099,20,20,1751.0,2,1,7,0,1.3,1.1,23,117,7,0.1,0.15,0.07,0.06,N/a,N/a,N/a,N/a,35.3,0.31,0.12,15.9,1200,89.4,20292,94.2,93.0,55.2,9,91,18,2,117,26,1.34,2,0.1,40,24,36,15,22,8,14,32,1524,156,713,697,125,18,7,85.7,14.3,1017,3129,23,23,2,1,3,1069,7,22,7,0,9,81,16,13,55.2
76,Marc Guéhi,€48.9M,eng ENG,Crystal Palace,DF,24-288,32,32,2879.0,3,2,9,1,1.9,1.2,22,126,8,0.09,0.16,0.06,0.04,N/a,N/a,N/a,N/a,50.0,0.22,0.21,10.3,1377,83.3,26335,91.1,88.8,55.3,12,127,11,3,126,38,1.19,5,0.16,56,31,45,15,53,22,31,25,1994,292,987,881,137,31,14,78.6,14.3,1065,2804,22,17,1,16,16,1243,8,22,26,1,13,135,66,50,56.9
77,Amad Diallo,€48.6M,ci CIV,Manchester Utd,"FW,MF",22-290,22,17,1594.0,6,6,3,0,4.1,3.9,92,53,159,0.34,0.68,0.23,0.22,N/a,N/a,N/a,N/a,32.5,0.73,0.15,17.7,658,82.9,9051,90.4,85.3,52.4,39,25,29,5,53,80,4.52,16,0.9,33,26,26,11,10,0,10,11,1012,13,150,374,504,109,72,50.0,44.4,656,2294,92,46,52,35,32,714,159,19,23,9,38,93,9,15,37.5
78,Valentino Livramento,€48.4M,eng ENG,Newcastle Utd,DF,22-166,33,28,2480.0,0,1,1,0,0.2,2.3,72,136,92,0.0,0.04,0.01,0.08,N/a,N/a,N/a,N/a,20.0,0.04,0.00,20.6,1228,85.0,18164,90.7,86.4,56.4,21,94,23,5,136,39,1.42,2,0.07,50,33,54,25,33,10,23,21,1728,105,553,796,404,32,48,43.8,41.7,896,2865,72,37,11,25,34,993,92,6,32,2,44,170,21,30,41.2
79,Jarrod Bowen,€48.4M,eng ENG,West Ham,"FW,MF",28-128,30,30,2631.0,9,7,1,0,7.5,6.3,97,87,183,0.31,0.55,0.25,0.22,N/a,N/a,N/a,N/a,40.0,1.03,0.11,17.8,509,71.8,8466,83.9,76.6,54.5,49,37,42,7,87,102,3.49,13,0.44,36,23,37,20,21,3,18,16,1097,25,125,398,597,150,114,35.1,57.0,647,2271,97,43,55,67,68,718,183,18,47,9,100,120,11,44,20.0
80,Elliot Anderson,€46.2M,eng ENG,Nott'ham Forest,MF,22-172,32,28,2317.0,2,6,6,0,1.7,3.1,37,115,78,0.08,0.31,0.06,0.12,N/a,N/a,N/a,N/a,17.6,0.23,0.06,19.9,863,77.8,13736,89.1,80.1,47.0,34,90,17,2,115,75,2.91,10,0.39,78,50,93,51,41,8,33,26,1480,88,354,694,460,55,68,50.0,38.2,740,1868,37,27,15,52,36,869,78,37,54,4,70,177,42,21,66.7
81,Pau Torres,€46.1M,es ESP,Aston Villa,DF,28-101,20,20,1729.0,0,0,1,0,0.5,0.1,33,74,4,0.0,0.0,0.03,0.0,N/a,N/a,N/a,N/a,25.0,0.1,0.00,11.7,1032,88.3,17916,94.7,93.1,51.2,2,93,7,0,74,12,0.62,2,0.1,20,14,15,6,14,10,4,9,1293,209,626,595,78,15,17,88.2,11.8,803,3503,33,20,0,3,3,923,4,6,7,0,1,53,16,22,42.1
82,Joelinton,€45.7M,br BRA,Newcastle Utd,"MF,FW",28-256,29,29,2393.0,4,3,10,0,3.9,2.5,40,116,110,0.15,0.26,0.15,0.09,N/a,N/a,N/a,N/a,28.9,0.49,0.09,14.0,863,82.7,12199,87.7,86.6,60.0,23,80,17,2,116,61,2.29,9,0.34,57,35,44,19,37,7,30,23,1360,67,256,670,448,83,46,32.6,60.9,729,1786,40,26,9,39,53,934,110,58,35,7,16,149,59,46,56.2
83,Jacob Ramsey,€45.7M,eng ENG,Aston Villa,"FW,MF",23-334,26,18,1485.0,1,3,2,0,1.4,2.1,57,64,103,0.06,0.24,0.09,0.12,N/a,N/a,N/a,N/a,23.5,0.24,0.06,16.1,470,85.5,6225,92.0,84.2,73.7,18,30,20,1,64,49,2.97,8,0.48,29,15,20,10,21,3,18,7,712,12,134,252,338,66,42,57.1,23.8,466,1598,57,31,19,39,21,542,103,12,24,5,10,74,6,10,37.5
84,Anthony Elanga,€45.6M,se SWE,Nott'ham Forest,FW,23-000,33,26,2052.0,6,9,1,0,3.9,4.4,79,47,164,0.26,0.66,0.17,0.19,N/a,N/a,N/a,N/a,45.7,0.7,0.17,16.8,426,65.3,6133,84.1,63.2,34.3,40,26,23,7,47,82,3.6,14,0.61,17,12,16,12,9,1,8,5,900,29,124,259,533,86,73,30.1,46.6,468,2071,79,41,36,65,35,592,164,7,32,13,142,79,22,33,40.0
85,Antoine Semenyo,€45.4M,gh GHA,Bournemouth,FW,25-110,32,32,2823.0,8,4,9,0,9.1,5.7,132,103,258,0.26,0.38,0.29,0.18,N/a,N/a,N/a,N/a,31.0,1.15,0.07,17.2,713,73.4,10210,85.0,76.7,38.0,44,47,44,8,103,121,3.86,12,0.38,51,33,40,26,55,7,48,8,1448,41,174,504,802,174,122,52.5,40.2,875,3299,132,64,64,75,69,1012,258,64,36,14,52,142,60,71,45.8
86,Noussair Mazraoui,€45.3M,ma MAR,Manchester Utd,DF,27-164,33,30,2565.0,0,1,2,0,0.6,1.3,36,102,47,0.0,0.04,0.02,0.05,N/a,N/a,N/a,N/a,25.0,0.11,0.00,20.8,1387,85.5,20824,91.4,89.2,54.3,17,116,18,5,102,48,1.68,1,0.04,100,59,84,34,32,8,24,33,1940,154,767,894,303,26,43,55.8,37.2,1070,2613,36,28,3,23,16,1175,47,37,21,3,20,137,46,27,63.0
87,Boubacar Kamara,€45.2M,fr FRA,Aston Villa,MF,25-155,22,16,1373.0,0,0,2,0,0.4,0.9,16,72,5,0.0,0.0,0.02,0.06,N/a,N/a,N/a,N/a,14.3,0.07,0.00,21.1,674,89.2,10544,93.5,91.4,53.1,10,77,8,0,72,24,1.57,2,0.13,46,19,51,25,17,7,10,16,911,88,288,520,109,8,22,36.4,31.8,467,1082,16,11,1,9,11,610,5,23,26,0,1,67,16,21,43.2
88,Justin Kluivert,€44.3M,nl NED,Bournemouth,"MF,FW",25-357,29,25,2026.0,12,6,7,0,9.9,4.8,68,94,142,0.53,0.8,0.44,0.21,N/a,N/a,N/a,N/a,44.0,0.98,0.12,20.1,495,73.8,7749,83.1,76.0,55.1,44,40,31,6,94,92,4.08,11,0.49,21,9,19,15,20,0,20,13,937,23,91,314,552,114,81,40.7,46.9,553,2006,68,46,34,46,24,607,142,39,27,5,76,68,7,23,23.3
89,Ezri Konsa,€44.3M,eng ENG,Aston Villa,DF,27-186,30,29,2576.0,1,0,0,0,0.9,0.4,16,73,11,0.03,0.03,0.03,0.01,N/a,N/a,N/a,N/a,33.3,0.1,0.11,9.1,1372,92.7,22993,96.3,95.7,65.0,5,93,1,0,73,23,0.8,3,0.1,32,17,22,4,17,9,8,21,1693,213,795,807,99,20,17,41.2,41.2,986,2465,16,11,2,16,9,1177,11,6,42,0,5,86,27,21,56.3
90,Rayan Aït Nouri,€44M,dz ALG,Wolves,DF,23-325,33,33,2775.0,4,7,7,1,2.4,4.7,74,96,156,0.13,0.36,0.08,0.15,N/a,N/a,N/a,N/a,25.0,0.26,0.13,15.0,1278,83.9,17616,93.3,86.3,41.1,36,66,27,9,96,75,2.43,12,0.39,81,51,66,25,40,6,34,22,1895,85,518,808,592,82,111,48.6,38.7,977,2762,74,53,23,40,42,1154,156,28,38,5,83,131,20,28,41.7
91,Manuel Akanji,€43.7M,ch SUI,Manchester City,DF,29-282,22,20,1711.0,0,0,3,0,0.7,0.4,38,135,6,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,10.0,0.05,0.00,16.3,1395,93.9,22867,95.9,95.5,73.9,9,150,11,2,135,34,1.79,2,0.11,15,10,12,5,11,8,3,7,1598,108,472,776,352,11,2,100.0,0.0,1044,3286,38,52,0,4,5,1264,6,16,9,0,11,86,24,29,45.3
92,Joshua Zirkzee,€43.3M,nl NED,Manchester Utd,"FW,MF",23-340,32,14,1402.0,3,1,2,0,4.8,1.5,14,44,69,0.19,0.26,0.31,0.1,N/a,N/a,N/a,N/a,39.3,0.71,0.11,13.1,292,71.2,3600,78.1,74.4,50.0,12,26,6,0,44,31,1.99,3,0.19,14,8,10,5,15,4,11,6,587,16,71,303,219,56,35,31.4,68.6,327,523,14,21,4,41,30,418,69,9,13,3,4,57,21,54,28.0
93,Youri Tielemans,€43.3M,be BEL,Aston Villa,MF,27-355,34,34,2915.0,2,7,4,0,3.0,6.9,37,226,44,0.06,0.28,0.09,0.21,N/a,N/a,N/a,N/a,30.6,0.34,0.06,20.4,1639,82.4,28103,90.1,87.6,53.8,59,221,35,4,226,116,3.58,12,0.37,82,56,72,33,36,15,21,21,2296,97,460,1324,537,41,57,52.6,31.6,1242,2466,37,26,9,30,28,1610,44,40,53,0,115,140,22,18,55.0
94,Antonee Robinson,€42.7M,us USA,Fulham,DF,27-262,33,32,2899.0,0,10,8,0,0.7,4.1,110,120,257,0.0,0.31,0.02,0.13,N/a,N/a,N/a,N/a,12.5,0.06,0.00,22.1,1482,76.5,25356,86.5,78.9,56.6,41,109,50,26,120,74,2.3,11,0.34,84,56,86,43,36,6,30,56,2339,121,741,893,739,65,75,44.0,41.3,1252,3937,110,59,29,40,18,1402,257,30,17,6,158,142,45,25,64.3
95,Yankuba Minteh,€42.6M,gm GAM,Brighton,"FW,MF",20-279,28,16,1499.0,5,4,6,0,3.7,4.7,68,37,159,0.3,0.54,0.22,0.29,N/a,N/a,N/a,N/a,46.4,0.78,0.18,13.6,284,61.9,4591,77.6,62.1,45.8,25,12,28,7,37,52,3.13,10,0.6,43,31,45,28,17,0,17,10,687,27,122,194,389,117,81,46.9,44.4,391,1684,68,17,53,42,19,405,159,17,9,4,73,73,16,25,39.0
96,Harvey Barnes,€42.6M,eng ENG,Newcastle Utd,FW,27-139,29,13,1413.0,9,4,0,0,6.3,3.7,74,69,159,0.57,0.83,0.4,0.24,N/a,N/a,N/a,N/a,30.8,1.02,0.17,14.7,402,79.3,5600,87.2,74.7,64.7,21,21,34,8,69,52,3.3,9,0.57,16,9,7,4,7,1,6,6,675,15,82,225,373,101,56,37.5,50.0,470,2026,74,38,41,24,18,538,159,10,18,4,37,46,5,14,26.3
97,Matheus Nunes,€42.3M,pt POR,Manchester City,"DF,MF",26-243,23,16,1404.0,1,5,4,0,0.9,4.2,56,66,151,0.06,0.38,0.06,0.27,N/a,N/a,N/a,N/a,42.9,0.19,0.14,18.3,885,86.5,13810,91.4,88.7,66.2,21,43,25,7,66,39,2.5,6,0.38,28,18,31,18,14,3,11,12,1166,35,207,442,522,53,33,45.5,39.4,717,1991,56,26,22,27,11,842,151,28,14,6,37,57,13,15,46.4
98,Jan Paul van Hecke,€41.9M,nl NED,Brighton,DF,24-323,30,29,2598.0,1,1,8,1,1.3,1.5,53,209,5,0.03,0.07,0.04,0.05,N/a,N/a,N/a,N/a,31.3,0.17,0.06,14.1,1795,87.9,35321,93.0,93.0,65.6,13,202,16,4,209,48,1.66,3,0.1,39,25,37,17,32,19,13,23,2316,246,987,1196,153,30,10,40.0,40.0,1536,6643,53,41,0,12,7,1628,5,22,22,0,11,119,73,48,60.3
99,Guglielmo Vicario,€41.6M,it ITA,Tottenham,GK,28-202,21,21,1890.0,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,1.29,68.6,19.0,N/a,N/a,0.0,N/a,N/a,681,90.0,13042,99.1,97.5,53.0,0,1,0,0,1,3,0.14,0,0.0,0,0,0,0,0,0,0,1,805,535,787,18,0,0,1,100.0,0.0,577,1533,0,0,0,0,0,520,0,0,1,0,0,30,9,0,100.0
100,Georginio Rutter,€41.2M,fr FRA,Brighton,"MF,FW",23-007,28,19,1656.0,5,3,2,0,4.6,2.5,42,67,79,0.27,0.43,0.25,0.14,N/a,N/a,N/a,N/a,24.0,0.65,0.10,15.5,237,66.8,3344,77.0,66.7,62.5,19,30,16,1,67,64,3.47,8,0.43,39,15,36,22,20,3,17,10,641,20,83,246,326,79,71,38.0,47.9,361,1405,42,36,16,45,37,411,79,34,45,7,9,66,25,46,35.2
101,Nikola Milenković,€40.6M,rs SRB,Nott'ham Forest,DF,27-197,32,32,2880.0,4,2,4,0,3.6,0.8,3,47,6,0.12,0.19,0.11,0.03,N/a,N/a,N/a,N/a,26.9,0.22,0.15,12.1,705,80.8,14175,86.9,87.1,60.4,7,47,2,0,47,18,0.56,3,0.09,42,26,27,6,38,22,16,24,1189,225,650,463,80,58,1,100.0,0.0,454,939,3,3,2,2,2,603,6,16,4,1,0,71,91,36,71.7
102,Bilal El Khannouss,€40.6M,ma MAR,Leicester City,MF,20-352,29,24,1920.0,2,2,4,0,0.9,3.3,62,117,78,0.09,0.19,0.04,0.15,N/a,N/a,N/a,N/a,26.1,0.28,0.09,22.8,713,75.2,12707,86.0,80.6,57.4,31,81,27,5,117,59,2.77,4,0.19,46,26,28,13,19,4,15,6,1125,16,162,584,391,27,46,58.7,37.0,646,1794,62,38,9,35,34,752,78,27,9,1,78,83,19,19,50.0
103,Emile Smith Rowe,€40.4M,eng ENG,Fulham,MF,24-273,30,23,1852.0,6,2,2,0,4.3,1.1,50,120,113,0.29,0.39,0.21,0.05,N/a,N/a,N/a,N/a,29.4,0.49,0.18,15.4,834,90.0,11939,92.0,95.4,69.2,18,74,15,1,120,65,3.16,11,0.53,30,17,24,16,20,2,18,11,1110,20,153,523,444,55,33,48.5,45.5,720,1832,50,38,11,32,13,853,113,17,12,4,13,68,6,17,26.1
104,Mikel Merino,€39.7M,es ESP,Arsenal,"MF,FW",28-309,25,15,1401.0,6,2,2,0,4.4,1.9,9,61,86,0.39,0.51,0.28,0.12,N/a,N/a,N/a,N/a,37.5,0.77,0.19,10.5,412,77.9,5686,87.0,78.3,53.3,15,33,24,4,61,39,2.51,4,0.26,38,22,29,14,17,5,12,13,709,35,127,300,291,72,17,41.2,35.3,349,638,9,12,4,21,22,460,86,35,20,7,12,76,57,52,52.3
105,Marc Cucurella,€39.6M,es ESP,Chelsea,DF,26-279,32,29,2628.0,4,1,10,1,2.6,1.9,30,104,108,0.14,0.17,0.09,0.06,N/a,N/a,N/a,N/a,40.9,0.31,0.18,16.5,1529,88.0,24117,93.9,90.0,57.4,18,108,12,3,104,46,1.58,5,0.17,58,38,50,25,40,13,27,23,2014,100,603,933,486,72,13,30.8,53.8,864,2105,30,17,2,26,6,1259,108,33,32,3,29,110,29,51,36.3
106,Max Kilman,€39.3M,eng ENG,West Ham,DF,27-339,34,34,2988.0,0,1,4,0,1.4,1.2,29,109,6,0.0,0.03,0.04,0.04,N/a,N/a,N/a,N/a,18.2,0.06,0.00,8.4,1508,86.9,29256,92.1,92.7,58.5,16,100,4,0,109,28,0.84,3,0.09,30,17,23,4,55,37,18,37,2111,424,1173,849,104,30,20,70.0,10.0,1109,2855,29,12,2,16,2,1402,6,17,12,2,3,135,101,48,67.8
107,Leon Bailey,€38.6M,jm JAM,Aston Villa,"FW,MF",27-261,23,14,1138.0,1,2,3,0,1.7,1.5,57,35,121,0.08,0.24,0.14,0.12,N/a,N/a,N/a,N/a,21.4,0.47,0.04,17.3,273,70.7,4275,81.4,81.1,47.4,16,16,20,2,35,38,3.01,4,0.32,6,4,10,8,6,0,6,3,539,18,76,155,318,69,57,38.6,42.1,344,1334,57,22,33,35,25,386,121,12,18,3,34,59,6,9,40.0
108,Diogo Dalot,€37.5M,pt POR,Manchester Utd,DF,26-040,32,31,2788.0,0,3,5,0,2.0,2.0,62,102,164,0.0,0.1,0.06,0.07,N/a,N/a,N/a,N/a,21.7,0.16,0.00,15.6,1336,80.5,21497,89.9,81.9,55.4,26,61,25,8,102,74,2.39,5,0.16,67,39,52,18,22,9,13,37,1965,113,658,767,557,66,53,50.9,41.5,1111,2684,62,37,16,37,21,1186,164,40,9,4,65,164,38,21,64.4
109,Edson Álvarez,€36.7M,mx MEX,West Ham,MF,27-185,25,19,1633.0,0,1,8,1,0.3,0.8,21,75,18,0.0,0.06,0.02,0.04,N/a,N/a,N/a,N/a,9.1,0.06,0.00,26.7,763,85.7,12894,88.8,89.7,73.5,11,80,11,3,75,25,1.38,2,0.11,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,45.2,38.7,603,1528,21,20,2,25,13,734,18,37,18,4,6,78,28,20,58.3
110,Joe Willock,€36.4M,eng ENG,Newcastle Utd,"MF,FW",25-250,29,10,953.0,0,2,2,0,1.4,1.9,34,35,76,0.0,0.19,0.14,0.18,N/a,N/a,N/a,N/a,18.8,0.28,0.00,15.7,262,81.9,3708,88.6,86.0,42.1,21,23,8,0,35,41,3.88,4,0.38,25,15,28,10,22,5,17,6,471,12,70,198,211,47,31,35.5,45.2,281,887,34,23,12,32,23,327,76,20,12,3,15,35,5,13,27.8
111,Jadon Sancho,€36.2M,eng ENG,Chelsea,FW,25-033,28,18,1668.0,3,4,1,0,2.0,3.4,96,86,214,0.16,0.38,0.11,0.18,N/a,N/a,N/a,N/a,30.4,0.38,0.13,15.3,624,82.5,8433,89.2,84.0,50.0,35,25,46,0,86,65,3.51,10,0.54,10,6,12,7,9,0,9,2,915,11,114,267,544,116,95,47.4,40.0,619,2337,96,32,55,29,21,715,214,6,11,5,23,97,5,10,33.3
112,Jean-Clair Todibo,€36.1M,fr FRA,West Ham,DF,25-118,23,16,1485.0,0,0,2,0,0.2,0.0,9,30,6,0.0,0.0,0.01,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.00,14.6,760,87.9,13564,92.9,94.9,45.3,2,40,1,0,30,5,0.3,0,0.0,36,22,30,7,23,12,11,20,1044,143,585,430,38,9,14,50.0,50.0,599,1335,9,5,0,9,8,714,6,10,5,0,2,62,23,23,50.0
113,Lewis Hall,€36.1M,eng ENG,Newcastle Utd,DF,20-231,27,24,2189.0,0,4,3,0,0.4,4.3,41,123,80,0.0,0.16,0.02,0.18,N/a,N/a,N/a,N/a,9.1,0.04,0.00,18.8,1300,81.7,21999,91.3,85.1,51.5,34,114,17,5,123,63,2.59,6,0.25,58,41,74,34,33,18,15,18,1820,95,623,804,414,47,21,52.4,33.3,950,2358,41,22,13,33,20,1094,80,9,21,1,110,119,30,31,49.2
114,Malo Gusto,€36.1M,fr FRA,Chelsea,DF,21-343,28,19,1819.0,0,1,4,0,1.7,1.2,48,118,84,0.0,0.05,0.08,0.06,N/a,N/a,N/a,N/a,18.2,0.2,0.00,21.3,1168,86.4,19089,93.1,88.2,61.3,20,107,18,6,118,56,2.77,4,0.2,43,28,47,23,29,8,21,23,1553,57,375,752,438,42,15,26.7,66.7,861,2170,48,35,8,16,17,1047,84,20,18,2,51,114,8,15,34.8
115,Myles Lewis-Skelly,€35.7M,eng ENG,Arsenal,DF,18-213,19,12,1078.0,1,0,2,2,0.1,0.3,29,57,32,0.08,0.08,0.01,0.03,N/a,N/a,N/a,N/a,50.0,0.08,0.50,14.3,549,90.7,8096,95.7,90.8,63.2,6,54,8,1,57,21,1.75,0,0.0,21,14,9,0,1,0,1,6,705,18,124,386,208,14,26,46.2,34.6,402,1332,29,21,5,9,8,482,32,10,35,0,8,42,7,7,50.0
