,Player,Values,Nation,Team,Pos,Age,MP,Starts,Min,Gls,Ast,CrdY,CrdR,xG,xAG,PrgC,PrgP,PrgR,Gls/90,Ast/90,xG/90,xGA/90,GA90,Save%,CS%,PSave%,SoT%,SoT/90,G/sh,Dist,Cmp,Cmp%,TotDist,SCmp%,MCmp%,LCmpt%,KP,1/3(passing),PPA,CrsPA,PrgP(passing),SCA,SCA90,GCA,GCA90,Tkl,TklW,Att(defense),Lost(defense),Blocks,Sh,Pass,Int,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att(possession),Succ%,Tkld%,Carries,PrgDist,PrgC(possession),1/3(possession),CPA,Mis,Dis,Rec,PrgR(possession),Fls,Fld,Off,Crs,Recov,Won,Lost,Won%
29,Murillo,€66M,br BRA,Nott'ham Forest,DF,22-297,32,32,2838.0,1,0,5,0,1.2,1.1,19,100,4,0.03,0.03,0.04,0.03,N/a,N/a,N/a,N/a,20.0,0.13,0.05,24.3,976,77.8,19356,90.9,87.0,47.6,12,110,11,1,100,35,1.11,2,0.06,49,33,44,18,66,43,23,29,1665,375,853,737,89,17,33,78.8,21.2,706,2162,19,24,1,18,9,839,4,25,4,0,12,124,36,19,65.5
30,Amadou Onana,€64.4M,be BEL,Aston Villa,MF,23-254,22,17,1348.0,3,0,4,0,2.1,0.3,20,58,13,0.2,0.2,0.14,0.02,N/a,N/a,N/a,N/a,35.3,0.4,0.18,14.7,589,88.4,9251,94.4,89.9,71.4,7,52,8,1,58,25,1.67,4,0.27,46,24,24,10,14,6,8,24,836,60,227,490,132,20,17,64.7,17.6,459,1237,20,20,1,10,9,563,13,30,23,0,1,64,25,18,58.1
31,Ollie Watkins,€63.2M,eng ENG,Aston Villa,FW,29-118,34,27,2263.0,15,7,2,0,14.5,2.9,50,28,143,0.6,0.87,0.58,0.12,N/a,N/a,N/a,N/a,42.1,1.27,0.17,12.2,277,73.7,3489,78.8,81.1,75.0,22,11,11,0,28,50,1.99,11,0.44,9,6,11,8,11,3,8,7,620,17,46,223,360,153,38,23.7,65.8,363,1022,50,21,35,51,44,486,143,27,29,12,7,39,46,61,43.0
32,Mohammed Kudus,€63M,gh GHA,West Ham,"FW,MF",24-268,28,28,2331.0,4,2,1,1,6.5,2.3,87,75,198,0.15,0.23,0.25,0.09,N/a,N/a,N/a,N/a,29.9,0.77,0.06,15.7,640,83.6,10463,90.0,89.3,68.5,27,42,26,12,75,95,3.67,6,0.23,33,19,27,17,23,1,22,4,1142,12,158,466,558,114,188,44.7,46.3,747,2292,87,56,39,66,88,888,198,35,58,18,70,125,10,35,22.2
33,Jurrien Timber,€62.7M,nl NED,Arsenal,DF,23-314,30,27,2417.0,1,3,7,0,1.2,0.8,57,146,104,0.04,0.15,0.05,0.03,N/a,N/a,N/a,N/a,28.6,0.15,0.07,14.1,1194,85.6,17327,91.0,86.0,52.9,17,107,17,2,146,52,1.94,9,0.34,58,38,27,9,19,4,15,22,1661,51,304,859,505,66,53,45.3,45.3,890,2076,57,27,11,33,24,1052,104,31,29,6,28,94,22,20,52.4
34,Rico Lewis,€62.7M,eng ENG,Manchester City,"DF,MF",20-157,26,20,1810.0,1,2,5,1,1.4,0.3,36,103,68,0.05,0.15,0.07,0.02,N/a,N/a,N/a,N/a,20.0,0.1,0.10,15.8,1139,92.0,16444,94.8,94.2,68.3,7,92,13,0,103,31,1.54,3,0.15,29,19,21,8,27,7,20,13,1399,51,286,702,426,42,21,42.9,52.4,815,2032,36,38,8,19,19,1002,68,10,33,0,3,93,5,13,27.8
35,Matheus Cunha,€62.6M,br BRA,Wolves,"MF,FW",25-335,29,26,2341.0,15,6,3,0,7.8,7.3,102,129,144,0.58,0.81,0.3,0.28,N/a,N/a,N/a,N/a,42.1,1.54,0.16,20.6,727,72.0,11580,85.3,76.1,45.3,51,88,54,10,129,117,4.5,16,0.62,35,21,35,24,19,1,18,16,1393,22,172,644,625,113,125,45.6,43.2,795,3021,102,86,35,70,48,939,144,39,69,8,120,120,10,27,27.0
36,Eberechi Eze,€62.2M,eng ENG,Crystal Palace,"MF,FW",26-302,30,28,2337.0,4,8,1,0,8.2,5.2,65,85,141,0.15,0.46,0.31,0.2,N/a,N/a,N/a,N/a,25.8,0.92,0.04,21.5,707,74.6,11848,85.3,83.4,43.2,53,46,32,3,85,119,4.58,9,0.35,37,22,35,18,26,0,26,11,1289,15,172,611,537,86,125,48.8,45.6,771,2178,65,43,21,52,44,840,141,11,46,9,100,128,6,36,14.3
37,Micky van de Ven,€62M,nl NED,Tottenham,DF,24-008,12,11,950.0,0,2,4,0,0.6,1.2,8,51,1,0.0,0.19,0.05,0.11,N/a,N/a,N/a,N/a,33.3,0.19,0.00,11.1,706,91.0,13313,91.7,96.5,62.5,2,50,1,0,51,11,1.04,2,0.19,10,6,14,6,9,6,3,10,862,101,442,393,36,9,8,50.0,50.0,599,1388,8,10,1,5,4,629,1,10,8,0,0,61,19,18,51.4
38,Morgan Gibbs-White,€61.7M,eng ENG,Nott'ham Forest,MF,25-090,29,29,2377.0,5,7,9,1,4.6,4.4,63,139,115,0.19,0.45,0.18,0.17,N/a,N/a,N/a,N/a,34.6,0.68,0.10,17.0,834,78.5,12823,84.9,82.0,58.8,44,110,35,7,139,98,3.71,17,0.64,39,18,30,15,14,4,10,17,1382,32,166,695,543,83,73,39.7,46.6,778,2303,63,46,12,66,37,1037,115,32,35,7,36,113,36,46,43.9
